,label,RMSE,MAE,MAPE,MASE
0,C1004 AS27000_SARIMA,15.13,10.95,35.99,0.96
0,C1004 AS27132_SARIMA,2.84,2.07,inf,1.18
1,C1004 AS27132_Holt-Winters 3,2.95,1.71,inf,0.97
2,C1004 AS27132_FB Prophet,3.31,2.85,inf,1.63
0,C1004 AS27133_SARIMA,27.77,22.55,inf,2.4
1,C1004 AS27133_Holt-Winters 3,56420.03,23288.61,inf,2484.12
2,C1004 AS27133_FB Prophet,40.64,30.18,inf,3.22
0,C1004 AS27134_SARIMA,21.24,15.38,inf,0.57
1,C1004 AS27134_Holt-Winters 3,19.95,6.76,inf,0.25
2,C1004 AS27134_FB Prophet,88.89,78.07,inf,2.91
2,C1004 AS27137_FB Prophet,10.9,8.38,54.11,3.01
0,C1004 AS27138_SARIMA,10.55,8.54,inf,3.22
1,C1004 AS27138_Holt-Winters 3,25.8,18.52,inf,6.97
2,C1004 AS27138_FB Prophet,10.13,8.77,inf,3.3
0,C1007 AS27000_SARIMA,65.28,45.84,inf,0.66
1,C1007 AS27000_Holt-Winters 3,130.65,110.27,inf,1.6
2,C1007 AS27000_FB Prophet,114.66,95.2,inf,1.38
0,C1007 AS27132_SARIMA,20.13,17.46,inf,0.92
1,C1007 AS27132_Holt-Winters 3,715.76,522.1,inf,27.48
2,C1007 AS27132_FB Prophet,58.65,46.88,inf,2.47
0,C1007 AS27133_SARIMA,7.6,6.57,inf,0.29
1,C1007 AS27133_Holt-Winters 3,10.1,8.64,inf,0.39
2,C1007 AS27133_FB Prophet,84.45,75.07,inf,3.36
0,C1007 AS27134_SARIMA,35.02,25.22,inf,0.51
1,C1007 AS27134_Holt-Winters 3,9.56,7.9,inf,0.16
2,C1007 AS27134_FB Prophet,59.73,50.1,inf,1.01
0,C1007 AS27137_SARIMA,15.81,9.79,87.62,0.68
0,C1007 AS27138_SARIMA,9.17,7.9,inf,1.81
2,C1007 AS27138_FB Prophet,20.94,17.54,inf,4.01
0,C1007 AS42018_SARIMA,6.69,4.81,inf,inf
0,C1008 AS27000_SARIMA,21.43,11.44,inf,0.66
1,C1008 AS27000_Holt-Winters 3,16.12,9.66,inf,0.56
