,district,year,implant_women_old,implant_women_new,injection2_women_old,injection2_women_new,injection3_women_old,injection3_women_new,pill_women_old,pill_women_new,iud_women_old,iud_women_new,iud_number_dispensed,implant_number_dispensed,injection2_number_dispensed,injection3_number_dispensed,pill_number_dispensed,iud_number_received,implant_number_received,injection2_number_received,injection3_number_received,pill_number_received,iud_stock_end,implant_stock_end,injection2_stock_end,injection3_stock_end,pill_stock_end
0,ABENGOUROU,2018,3298.0,965.0,2997.0,749.0,10892,2609,1867.0,425.0,117.0,15.0,26.0,823.0,3681.0,7082.0,6893.0,673.0,2435.0,8799.0,12890.0,35961.0,,3167.0,,16041.0,48097.0
1,ABENGOUROU,2017,2597.0,698.0,2125.0,588.0,9939,2480,1835.0,400.0,34.0,22.0,15.0,483.0,2894.0,6460.0,6339.0,544.0,1760.0,9920.0,12727.0,31260.0,,2617.0,,16403.0,41079.0
2,ABENGOUROU,2016,865.0,408.0,2616.0,786.0,8407,2440,2675.0,439.0,20.0,24.0,19.0,438.0,3167.0,5394.0,5982.0,436.0,1503.0,11407.0,12666.0,28256.0,,1671.0,,8561.0,20878.0
3,ABOBO EST,2018,4041.0,2234.0,2200.0,583.0,13504,3940,2959.0,673.0,383.0,180.0,155.0,2372.0,878.0,9512.0,5234.0,1154.0,3309.0,2241.0,9914.0,7426.0,,3092.0,,9359.0,9046.0
4,ABOBO EST,2017,1954.0,2491.0,1768.0,214.0,10745,2389,3506.0,679.0,147.0,259.0,258.0,3066.0,1805.0,8939.0,6957.0,2780.0,4009.0,5846.0,11784.0,13191.0,,2596.0,,6359.0,11711.0
5,ABOBO EST,2016,760.0,617.0,1989.0,348.0,8784,2008,3220.0,732.0,101.0,169.0,147.0,673.0,2056.0,12027.0,6919.0,2617.0,1124.0,4097.0,8381.0,15609.0,,,,,
6,ABOBO OUEST,2018,1806.0,1568.0,8288.0,201.0,6586,1020,6923.0,326.0,803.0,142.0,908.0,1929.0,8318.0,5179.0,8922.0,3117.0,3269.0,28769.0,11085.0,46937.0,,2591.0,,9269.0,55790.0
7,ABOBO OUEST,2017,2518.0,1635.0,6797.0,870.0,13464,1764,9350.0,1369.0,2722.0,536.0,1090.0,2085.0,5025.0,8996.0,12141.0,3342.0,5271.0,27150.0,28394.0,35613.0,,4330.0,,21156.0,93546.0
8,ABOBO OUEST,2016,2435.0,1257.0,6623.0,626.0,9730,1324,9362.0,603.0,2497.0,889.0,1243.0,2427.0,7531.0,8520.0,13037.0,2934.0,9514.0,50103.0,42308.0,68118.0,,2875.0,,13670.0,28693.0
9,ABOISSO,2018,1810.0,675.0,933.0,260.0,6997,1791,1606.0,304.0,27.0,5.0,21.0,663.0,963.0,3657.0,6091.0,45.0,1626.0,1538.0,4211.0,5638.0,,1921.0,,3918.0,5336.0
10,ABOISSO,2017,399.0,461.0,1295.0,218.0,5972,1591,1629.0,341.0,135.0,15.0,25.0,458.0,1212.0,3280.0,3144.0,38.0,1195.0,2087.0,3991.0,7389.0,,1123.0,,2050.0,7225.0
11,ABOISSO,2016,852.0,303.0,3104.0,345.0,6517,1502,2940.0,411.0,18.0,1.0,6.0,191.0,1661.0,2758.0,5783.0,135.0,578.0,3708.0,3630.0,38066.0,,,,,
12,ADIAKE,2018,11.0,74.0,822.0,118.0,1710,359,339.0,58.0,,1.0,,55.0,753.0,1623.0,753.0,,135.0,1676.0,1490.0,1325.0,,80.0,,891.0,1071.0
13,ADIAKE,2017,30.0,46.0,765.0,99.0,1674,667,282.0,60.0,1.0,2.0,,53.0,836.0,973.0,640.0,200.0,139.0,1827.0,1179.0,1464.0,,72.0,,635.0,785.0
14,ADIAKE,2016,,25.0,701.0,149.0,1463,590,477.0,95.0,,14.0,52.0,74.0,1673.0,766.0,992.0,55.0,26.0,2041.0,959.0,2237.0,,,,,
15,ADJAME-PLATEAU-ATTECOUBE,2018,5682.0,1586.0,3720.0,481.0,13913,1956,5286.0,630.0,444.0,98.0,527.0,2744.0,3787.0,9465.0,24048.0,707.0,6251.0,17291.0,20721.0,35675.0,,7474.0,,13930.0,33394.0
16,ADJAME-PLATEAU-ATTECOUBE,2017,1891.0,1356.0,2681.0,279.0,8263,1458,3983.0,408.0,199.0,100.0,280.0,2226.0,3201.0,8830.0,10680.0,1050.0,5053.0,16800.0,20833.0,50076.0,,3829.0,,16098.0,47089.0
17,ADJAME-PLATEAU-ATTECOUBE,2016,1382.0,515.0,3058.0,382.0,8387,1042,4386.0,358.0,345.0,71.0,264.0,829.0,3532.0,6895.0,11042.0,1424.0,3423.0,10913.0,20797.0,34111.0,,353.0,,1392.0,3229.0
18,ADZOPE,2018,97.0,752.0,1469.0,220.0,3072,840,652.0,210.0,51.0,219.0,191.0,822.0,1937.0,3712.0,2213.0,213.0,1368.0,2162.0,5549.0,6892.0,,1610.0,,4711.0,9113.0
19,ADZOPE,2017,23.0,344.0,1346.0,177.0,2702,806,555.0,177.0,13.0,15.0,17.0,304.0,1583.0,3054.0,2200.0,49.0,1030.0,2994.0,4510.0,5324.0,,979.0,,2884.0,5709.0
20,ADZOPE,2016,7.0,182.0,1825.0,351.0,2316,763,632.0,309.0,9.0,13.0,19.0,407.0,2140.0,2895.0,3814.0,143.0,723.0,2955.0,3874.0,3782.0,,,,,
21,AGBOVILLE,2018,2591.0,1025.0,1444.0,312.0,8395,1770,1890.0,276.0,593.0,236.0,208.0,958.0,1707.0,8971.0,3945.0,562.0,1441.0,2769.0,10060.0,8478.0,,1109.0,,3547.0,5679.0
22,AGBOVILLE,2017,915.0,187.0,1712.0,308.0,6638,1474,1410.0,263.0,116.0,29.0,116.0,206.0,2017.0,7504.0,4444.0,29.0,377.0,3343.0,8661.0,8402.0,,329.0,,2560.0,5931.0
23,AGBOVILLE,2016,57.0,96.0,1615.0,406.0,6765,1522,1709.0,278.0,11.0,3.0,,95.0,1955.0,7445.0,4780.0,12.0,249.0,3053.0,7685.0,7440.0,,,,,
24,AGNIBILEKROU,2018,816.0,274.0,78.0,32.0,4546,678,1896.0,167.0,,1.0,,335.0,100.0,3164.0,1965.0,,846.0,248.0,2866.0,2607.0,,1199.0,,2222.0,3337.0
25,AGNIBILEKROU,2017,347.0,272.0,84.0,30.0,2942,879,979.0,279.0,,,,264.0,94.0,3183.0,2465.0,6.0,669.0,414.0,2939.0,3256.0,,970.0,,3317.0,5554.0
26,AGNIBILEKROU,2016,230.0,238.0,382.0,155.0,2350,680,1168.0,345.0,,10.0,2.0,242.0,477.0,2504.0,2994.0,50.0,566.0,844.0,2642.0,4617.0,,,,,
27,AKOUPE,2018,1658.0,545.0,1252.0,227.0,2869,681,940.0,134.0,48.0,35.0,15.0,373.0,902.0,1729.0,958.0,103.0,923.0,2237.0,2432.0,1750.0,,607.0,,1297.0,1045.0
28,AKOUPE,2017,123.0,214.0,1169.0,310.0,2200,511,733.0,223.0,12.0,2.0,,35.0,653.0,737.0,472.0,,29.0,720.0,670.0,414.0,,19.0,,271.0,145.0
29,AKOUPE,2016,,18.0,1582.0,325.0,1569,343,800.0,108.0,,2.0,,,1224.0,203.0,511.0,,,1195.0,250.0,678.0,,,,,
30,ALEPE,2018,12.0,122.0,669.0,164.0,2204,539,156.0,93.0,12.0,,2.0,37.0,826.0,1829.0,203.0,10.0,232.0,2891.0,4041.0,1403.0,,210.0,,2202.0,1550.0
31,ALEPE,2017,,10.0,661.0,150.0,2090,556,118.0,33.0,,,,2.0,834.0,1886.0,318.0,,,1022.0,2213.0,402.0,,5.0,,1441.0,625.0
32,ALEPE,2016,,139.0,948.0,211.0,1352,410,142.0,99.0,,7.0,7.0,124.0,985.0,1058.0,468.0,10.0,131.0,1292.0,1196.0,865.0,,,,24.0,
33,ANYAMA,2018,75.0,1818.0,1932.0,342.0,4996,1076,1396.0,384.0,36.0,194.0,127.0,1734.0,2118.0,4106.0,2711.0,295.0,2126.0,3167.0,4523.0,4194.0,,1398.0,,3670.0,4657.0
34,ANYAMA,2017,259.0,955.0,1918.0,473.0,4109,957,1255.0,347.0,42.0,176.0,71.0,706.0,1626.0,3331.0,2096.0,177.0,1068.0,2440.0,8964.0,3761.0,,743.0,,3477.0,5411.0
35,ANYAMA,2016,299.0,2046.0,2077.0,489.0,3716,870,1392.7,1026.7,15.0,101.0,67.0,478.0,2042.0,2593.0,2632.0,141.0,684.0,3028.0,3126.0,6012.0,,,,,258.0
36,ARRAH,2018,189.0,167.0,238.0,71.0,2402,593,327.0,58.0,,3.0,62.0,180.0,322.0,2515.0,1446.0,50.0,376.0,522.0,2112.0,4741.0,,437.0,,1286.0,4417.0
37,ARRAH,2017,13.0,137.0,282.0,116.0,1663,390,377.0,63.0,,1.0,,131.0,418.0,1706.0,1107.0,,487.0,1013.0,1340.0,3410.0,,370.0,,792.0,3376.0
38,ARRAH,2016,112.0,137.0,870.0,198.0,1784,374,522.0,89.0,1.0,2.0,18.0,153.0,1067.0,1558.0,1409.0,54.0,667.0,1553.0,1059.0,3481.0,,,,,
39,BANGOLO,2018,2049.0,504.0,31.0,13.0,2790,796,84.0,14.0,,4.0,,345.0,33.0,1887.0,60.0,423.0,662.0,143.0,2208.0,56.0,,719.0,,941.0,275.0
40,BANGOLO,2017,3629.0,368.0,70.0,48.0,2155,1023,112.0,87.0,42.0,13.0,2.0,339.0,85.0,1652.0,114.0,158.0,902.0,298.0,2116.0,498.0,,588.0,,893.0,523.0
41,BANGOLO,2016,2094.0,430.0,131.0,60.0,2327,845,296.0,156.0,129.0,3.0,45.0,315.0,127.0,1530.0,1348.0,138.0,678.0,291.0,2543.0,22374.0,,11.0,,259.0,59.0
42,BEOUMI,2018,661.0,1080.0,372.0,132.0,2457,998,490.0,175.0,2.0,207.0,5.0,386.0,506.0,2193.0,6148.0,,1175.0,1048.0,3027.0,17559.0,,2625.0,,2814.0,27221.0
43,BEOUMI,2017,498.0,374.0,638.0,177.0,2309,641,547.0,104.0,,1.0,4.0,298.0,674.0,1664.0,4468.0,19.0,628.0,1143.0,2441.0,16756.0,,1034.0,,2600.0,41551.0
44,BEOUMI,2016,476.0,464.0,1025.0,293.0,2067,548,1139.0,191.0,,,3.0,411.0,1034.0,1700.0,5547.0,35.0,1053.0,1833.0,2283.0,54793.0,,,,,
45,BETTIE,2018,722.0,92.0,2094.0,158.0,5209,491,1081.0,117.0,46.0,1.0,1.0,55.0,585.0,443.0,786.0,,166.0,785.0,545.0,2317.0,,394.0,,677.0,5474.0
46,BETTIE,2017,430.0,51.0,2085.0,292.0,4714,409,1033.0,126.0,13.0,,,35.0,924.0,922.0,1537.0,,31.0,1221.0,868.0,1507.0,,71.0,,1631.0,5561.0
47,BETTIE,2016,58.0,23.0,1628.0,306.0,2931,462,668.0,101.0,1.0,1.0,5.0,23.0,778.0,988.0,821.0,12.0,35.0,1173.0,1562.0,2224.0,,,,,
48,BIANKOUMA,2018,3085.0,495.0,42.0,76.0,4821,1207,421.0,71.0,194.0,36.0,8.0,366.0,87.0,2266.0,70.0,53.0,719.0,182.0,3898.0,154.0,,678.0,,2775.0,118.0
49,BIANKOUMA,2017,709.0,448.0,22.0,38.0,2403,995,70.0,38.0,23.0,3.0,2.0,286.0,26.0,1972.0,73.0,126.0,657.0,106.0,3193.0,199.0,,481.0,,2116.0,159.0
50,BIANKOUMA,2016,57.0,237.0,130.0,60.0,2118,824,65.0,44.0,3.0,,4.0,144.0,40.0,1541.0,104.0,70.0,360.0,101.0,2659.0,885.0,,48.0,,597.0,171.0
51,BLOLEQUIN,2018,3610.0,848.0,112.0,111.0,4302,1679,586.0,291.0,114.0,47.0,,493.0,314.0,2670.0,451.0,,951.0,493.0,3119.0,824.0,,1112.0,,2706.0,1343.0
52,BLOLEQUIN,2017,1128.0,472.0,94.0,68.0,3645,1925,602.0,301.0,1.0,1.0,13.0,383.0,109.0,3164.0,485.0,39.0,528.0,561.0,3965.0,705.0,,335.0,,1620.0,639.0
53,BLOLEQUIN,2016,1175.0,884.0,99.0,88.0,4440,2100,1017.0,796.0,,,,973.0,186.0,3655.0,6782.0,42.0,965.0,383.0,3569.0,12721.0,,,,,
54,BOCANDA,2018,43.0,145.0,1066.0,89.0,3194,568,290.0,70.0,,,,165.0,454.0,1723.0,5656.0,24.0,173.0,583.0,1608.0,4242.0,,351.0,,1434.0,10318.0
55,BOCANDA,2017,87.0,88.0,440.0,122.0,1863,470,402.0,73.0,,1.0,,130.0,331.0,1418.0,2547.0,10.0,192.0,436.0,1319.0,927.0,,460.0,,2495.0,9711.0
56,BOCANDA,2016,68.0,179.0,490.0,165.0,1278,458,422.0,125.0,,1.0,1.0,172.0,697.0,1005.0,808.0,6.0,181.0,752.0,1588.0,834.0,,,,,
