district,month,year,implant_women_old,implant_women_new,injection2_women_old,injection2_women_new,injection3_women_old,injection3_women_new,pill_women_old,pill_women_new,iud_women_old,iud_women_new,iud_number_dispensed,implant_number_dispensed,injection2_number_dispensed,injection3_number_dispensed,pill_number_dispensed,iud_number_received,implant_number_received,injection2_number_received,injection3_number_received,pill_number_received,iud_stock_end,implant_stock_end,injection2_stock_end,injection3_stock_end,pill_stock_end
ABENGOUROU,1,2019,478.0,91.0,103.0,17.0,1278,296,195.0,34.0,,,,75.0,44.0,1082.0,2542.0,,319.0,33.0,1244.0,2846.0,,422.0,,1501.0,3466.0
ABENGOUROU,2,2019,340.0,81.0,126.0,10.0,1237,253,187.0,19.0,9.0,1.0,1.0,66.0,38.0,813.0,557.0,20.0,255.0,17.0,1174.0,2608.0,,394.0,,1535.0,3327.0
ABENGOUROU,3,2019,367.0,59.0,14.0,7.0,1300,224,147.0,26.0,,5.0,5.0,47.0,42.0,819.0,665.0,50.0,214.0,50.0,1050.0,2148.0,,340.0,,1187.0,3636.0
ABENGOUROU,4,2019,583.0,46.0,6.0,1.0,1296,336,200.0,35.0,,3.0,1.0,36.0,66.0,874.0,404.0,45.0,217.0,55.0,824.0,1787.0,,340.0,,889.0,2727.0
ABENGOUROU,5,2019,407.0,60.0,46.0,20.0,1356,281,156.0,24.0,,1.0,1.0,71.0,47.0,813.0,545.0,14.0,321.0,256.0,1032.0,1635.0,,355.0,,604.0,1668.0
ABENGOUROU,6,2019,344.0,53.0,75.0,26.0,1467,204,163.0,27.0,,3.0,3.0,64.0,85.0,827.0,630.0,13.0,240.0,397.0,914.0,1536.0,,54.0,,648.0,2583.0
ABOBO EST,1,2019,1061.0,155.0,140.0,7.0,1483,334,369.0,48.0,311.0,10.0,13.0,73.0,12.0,717.0,327.0,55.0,199.0,40.0,858.0,553.0,,189.0,,501.0,311.0
ABOBO EST,2,2019,914.0,130.0,121.0,3.0,1447,308,239.0,31.0,91.0,10.0,12.0,66.0,,595.0,304.0,50.0,332.0,18.0,918.0,623.0,,299.0,,475.0,601.0
ABOBO EST,3,2019,1007.0,220.0,43.0,45.0,1520,377,177.0,34.0,97.0,22.0,23.0,195.0,,818.0,324.0,69.0,200.0,,1012.0,386.0,,334.0,,584.0,522.0
ABOBO EST,4,2019,924.0,106.0,177.0,20.0,1074,107,183.0,26.0,103.0,1.0,4.0,98.0,18.0,537.0,330.0,46.0,148.0,60.0,566.0,330.0,,264.0,,347.0,516.0
