,label,RMSE,MAE,MASE
0,C1004 X AS27000_SARIMA,15.13,10.95,0.96
1,C1004 X AS27132_Holt-Winters 3,2.97,1.74,0.99
0,C1004 X AS27133_SARIMA,27.77,22.55,2.4
1,C1004 X AS27134_Holt-Winters 3,19.88,7.08,0.26
0,C1004 X AS27137_SARIMA,8.63,7.52,2.7
0,C1004 X AS27138_SARIMA,10.55,8.54,3.22
0,C1007 X AS27000_SARIMA,65.28,45.84,0.66
0,C1007 X AS27132_SARIMA,20.13,17.46,0.92
0,C1007 X AS27133_SARIMA,7.6,6.57,0.29
1,C1007 X AS27134_Holt-Winters 3,7.07,5.85,0.12
0,C1007 X AS27137_SARIMA,15.81,9.79,0.68
0,C1007 X AS27138_SARIMA,9.17,7.9,1.81
0,C1007 X AS42018_SARIMA,6.69,4.81,inf
1,C1007 X AS42018_Holt-Winters 3,33.62,28.89,inf
2,C1007 X AS42018_FB Prophet,28.28,18.89,inf
0,C1008 X AS27000_SARIMA,21.43,11.44,0.66
0,C1008 X AS27132_SARIMA,0.0,0.0,0.0
0,C1008 X AS27133_SARIMA,28.69,21.1,1.22
1,C1008 X AS27134_Holt-Winters 3,7.64,5.65,0.46
0,C1008 X AS27137_SARIMA,4.47,4.02,0.64
2,C1008 X AS27138_FB Prophet,7.51,6.61,0.95
2,C1009 X AS27000_FB Prophet,9.09,6.23,0.46
0,C1009 X AS27133_SARIMA,31.77,28.1,1.72
0,C1009 X AS27137_SARIMA,3.97,2.85,4.55
0,C1009 X AS27138_SARIMA,3.81,3.28,3.5
0,C1010 X AS27000_SARIMA,7.7,6.08,0.73
1,C1010 X AS27132_Holt-Winters 3,3.41,2.99,1.11
0,C1010 X AS27133_SARIMA,25.28,20.0,1.47
1,C1010 X AS27134_Holt-Winters 3,4.87,4.0,0.32
0,C1010 X AS27137_SARIMA,2.63,2.15,0.92
0,C1010 X AS27138_SARIMA,4.89,3.71,14.84
0,C1011 X AS21126_SARIMA,0.33,0.11,inf
1,C1011 X AS21126_Holt-Winters 3,3.02,1.11,inf
2,C1011 X AS21126_FB Prophet,3.02,1.11,inf
0,C1011 X AS27000_SARIMA,5.4,4.15,0.78
1,C1011 X AS27132_Holt-Winters 3,2.67,2.29,0.55
0,C1011 X AS27133_SARIMA,26.34,20.55,3.94
0,C1011 X AS27134_SARIMA,8.61,6.3,1.02
0,C1011 X AS27137_SARIMA,1.92,1.52,1.43
0,C1011 X AS27138_SARIMA,12.75,10.76,1.51
1,C1011 X AS46000_Holt-Winters 3,0.11,0.1,0.04
0,C1014 X AS17005_SARIMA,0.32,0.16,inf
1,C1014 X AS17005_Holt-Winters 3,0.33,0.11,inf
2,C1014 X AS17005_FB Prophet,0.33,0.11,inf
1,C1014 X AS27000_Holt-Winters 3,2.2,1.26,4.02
0,C1014 X AS27132_SARIMA,0.05,0.04,1.14
0,C1014 X AS27133_SARIMA,7.19,5.65,18.07
1,C1014 X AS27134_Holt-Winters 3,0.0,0.0,0.0
0,C1014 X AS27137_SARIMA,1.66,1.22,inf
1,C1014 X AS27137_Holt-Winters 3,2.19,1.68,inf
2,C1014 X AS27137_FB Prophet,2.19,1.67,inf
0,C1014 X AS27138_SARIMA,3.2,2.77,9.85
0,C1014 X AS46000_SARIMA,48.09,18.4,inf
1,C1014 X AS46000_Holt-Winters 3,47.96,16.09,inf
2,C1014 X AS46000_FB Prophet,48.0,16.0,inf
1,C1015 X AS17005_Holt-Winters 3,0.04,0.03,0.02
0,C1015 X AS27000_SARIMA,18.37,14.95,1.09
1,C1015 X AS27132_Holt-Winters 3,2.21,1.61,0.18
0,C1015 X AS27133_SARIMA,7.62,6.14,1.34
0,C1015 X AS27134_SARIMA,16.42,12.03,1.14
1,C1015 X AS27137_Holt-Winters 3,4.38,2.7,0.98
1,C1015 X AS27138_Holt-Winters 3,0.91,0.64,0.28
0,C1015 X AS27139_SARIMA,0.0,0.0,0.0
1,C1015 X AS46000_Holt-Winters 3,34.16,25.7,1.01
0,C1017 X AS27133_SARIMA,14.44,9.41,inf
