calendar,calendar,site_code,product_code,stock_distributed
2016-01-01,2016-01-01,C1004,AS27000,1.0
2016-02-01,2016-02-01,C1004,AS27000,1.0
2016-03-01,2016-03-01,C1004,AS27000,1.0
2016-04-01,2016-04-01,C1004,AS27000,1.0
2016-05-01,2016-05-01,C1004,AS27000,1.0
2016-06-01,2016-06-01,C1004,AS27000,1.0
2016-07-01,2016-07-01,C1004,AS27000,1.0
2016-08-01,2016-08-01,C1004,AS27000,1.0
2016-09-01,2016-09-01,C1004,AS27000,1.0
2016-10-01,2016-10-01,C1004,AS27000,1.0
2016-11-01,2016-11-01,C1004,AS27000,1.0
2016-12-01,2016-12-01,C1004,AS27000,1.0
2017-01-01,2017-01-01,C1004,AS27000,1.0
2017-02-01,2017-02-01,C1004,AS27000,1.0
2017-03-01,2017-03-01,C1004,AS27000,1.0
2017-04-01,2017-04-01,C1004,AS27000,1.0
2017-05-01,2017-05-01,C1004,AS27000,1.0
2017-06-01,2017-06-01,C1004,AS27000,1.0
2017-07-01,2017-07-01,C1004,AS27000,1.0
2017-08-01,2017-08-01,C1004,AS27000,8.0
2017-09-01,2017-09-01,C1004,AS27000,45.0
2017-10-01,2017-10-01,C1004,AS27000,14.0
2017-11-01,2017-11-01,C1004,AS27000,17.0
2017-12-01,2017-12-01,C1004,AS27000,33.0
2018-01-01,2018-01-01,C1004,AS27000,31.0
2018-02-01,2018-02-01,C1004,AS27000,35.0
2018-03-01,2018-03-01,C1004,AS27000,6.0
2018-04-01,2018-04-01,C1004,AS27000,62.0
2018-05-01,2018-05-01,C1004,AS27000,23.0
2018-06-01,2018-06-01,C1004,AS27000,27.0
2018-07-01,2018-07-01,C1004,AS27000,62.0
2018-08-01,2018-08-01,C1004,AS27000,1.0
2018-09-01,2018-09-01,C1004,AS27000,41.0
2016-01-01,2016-01-01,C1004,AS27132,1.0
2016-02-01,2016-02-01,C1004,AS27132,1.0
2016-03-01,2016-03-01,C1004,AS27132,1.0
2016-04-01,2016-04-01,C1004,AS27132,1.0
2016-05-01,2016-05-01,C1004,AS27132,1.0
2016-06-01,2016-06-01,C1004,AS27132,1.0
2016-07-01,2016-07-01,C1004,AS27132,1.0
2016-08-01,2016-08-01,C1004,AS27132,1.0
2016-09-01,2016-09-01,C1004,AS27132,1.0
2016-10-01,2016-10-01,C1004,AS27132,1.0
2016-11-01,2016-11-01,C1004,AS27132,1.0
2016-12-01,2016-12-01,C1004,AS27132,1.0
2017-01-01,2017-01-01,C1004,AS27132,1.0
2017-02-01,2017-02-01,C1004,AS27132,1.0
2017-03-01,2017-03-01,C1004,AS27132,1.0
2017-04-01,2017-04-01,C1004,AS27132,1.0
2017-05-01,2017-05-01,C1004,AS27132,1.0
2017-06-01,2017-06-01,C1004,AS27132,1.0
2017-07-01,2017-07-01,C1004,AS27132,1.0
2017-08-01,2017-08-01,C1004,AS27132,1.0
2017-09-01,2017-09-01,C1004,AS27132,11.0
2017-10-01,2017-10-01,C1004,AS27132,1.0
2017-11-01,2017-11-01,C1004,AS27132,1.0
2017-12-01,2017-12-01,C1004,AS27132,3.0
2018-01-01,2018-01-01,C1004,AS27132,9.0
2018-02-01,2018-02-01,C1004,AS27132,1.0
2018-03-01,2018-03-01,C1004,AS27132,4.0
2018-04-01,2018-04-01,C1004,AS27132,3.0
2018-05-01,2018-05-01,C1004,AS27132,1.0
2018-06-01,2018-06-01,C1004,AS27132,1.0
2018-07-01,2018-07-01,C1004,AS27132,7.0
2018-08-01,2018-08-01,C1004,AS27132,8.0
2018-09-01,2018-09-01,C1004,AS27132,1.0
2016-01-01,2016-01-01,C1004,AS27133,1.0
2016-02-01,2016-02-01,C1004,AS27133,1.0
2016-03-01,2016-03-01,C1004,AS27133,1.0
2016-04-01,2016-04-01,C1004,AS27133,1.0
2016-05-01,2016-05-01,C1004,AS27133,1.0
2016-06-01,2016-06-01,C1004,AS27133,1.0
2016-07-01,2016-07-01,C1004,AS27133,1.0
2016-08-01,2016-08-01,C1004,AS27133,1.0
2016-09-01,2016-09-01,C1004,AS27133,1.0
2016-10-01,2016-10-01,C1004,AS27133,1.0
2016-11-01,2016-11-01,C1004,AS27133,1.0
2016-12-01,2016-12-01,C1004,AS27133,1.0
2017-01-01,2017-01-01,C1004,AS27133,1.0
2017-02-01,2017-02-01,C1004,AS27133,1.0
2017-03-01,2017-03-01,C1004,AS27133,1.0
2017-04-01,2017-04-01,C1004,AS27133,1.0
2017-05-01,2017-05-01,C1004,AS27133,1.0
2017-06-01,2017-06-01,C1004,AS27133,1.0
2017-07-01,2017-07-01,C1004,AS27133,1.0
2017-08-01,2017-08-01,C1004,AS27133,1.0
2017-09-01,2017-09-01,C1004,AS27133,26.0
2017-10-01,2017-10-01,C1004,AS27133,26.0
2017-11-01,2017-11-01,C1004,AS27133,1.0
2017-12-01,2017-12-01,C1004,AS27133,51.0
2018-01-01,2018-01-01,C1004,AS27133,26.0
2018-02-01,2018-02-01,C1004,AS27133,1.0
2018-03-01,2018-03-01,C1004,AS27133,1.0
2018-04-01,2018-04-01,C1004,AS27133,1.0
2018-05-01,2018-05-01,C1004,AS27133,16.0
2018-06-01,2018-06-01,C1004,AS27133,36.0
2018-07-01,2018-07-01,C1004,AS27133,51.0
2018-08-01,2018-08-01,C1004,AS27133,1.0
2018-09-01,2018-09-01,C1004,AS27133,51.0
2016-01-01,2016-01-01,C1004,AS27134,1.0
2016-02-01,2016-02-01,C1004,AS27134,1.0
2016-03-01,2016-03-01,C1004,AS27134,1.0
2016-04-01,2016-04-01,C1004,AS27134,1.0
2016-05-01,2016-05-01,C1004,AS27134,1.0
2016-06-01,2016-06-01,C1004,AS27134,1.0
2016-07-01,2016-07-01,C1004,AS27134,1.0
2016-08-01,2016-08-01,C1004,AS27134,1.0
2016-09-01,2016-09-01,C1004,AS27134,1.0
2016-10-01,2016-10-01,C1004,AS27134,1.0
2016-11-01,2016-11-01,C1004,AS27134,1.0
2016-12-01,2016-12-01,C1004,AS27134,1.0
2017-01-01,2017-01-01,C1004,AS27134,1.0
2017-02-01,2017-02-01,C1004,AS27134,1.0
2017-03-01,2017-03-01,C1004,AS27134,1.0
2017-04-01,2017-04-01,C1004,AS27134,1.0
2017-05-01,2017-05-01,C1004,AS27134,1.0
2017-06-01,2017-06-01,C1004,AS27134,1.0
2017-07-01,2017-07-01,C1004,AS27134,1.0
2017-08-01,2017-08-01,C1004,AS27134,11.0
2017-09-01,2017-09-01,C1004,AS27134,104.0
2017-10-01,2017-10-01,C1004,AS27134,8.0
2017-11-01,2017-11-01,C1004,AS27134,81.0
2017-12-01,2017-12-01,C1004,AS27134,41.0
2018-01-01,2018-01-01,C1004,AS27134,61.0
2018-02-01,2018-02-01,C1004,AS27134,17.0
2018-03-01,2018-03-01,C1004,AS27134,163.0
2018-04-01,2018-04-01,C1004,AS27134,1.0
2018-05-01,2018-05-01,C1004,AS27134,78.0
2018-06-01,2018-06-01,C1004,AS27134,46.0
2018-07-01,2018-07-01,C1004,AS27134,21.0
2018-08-01,2018-08-01,C1004,AS27134,1.0
2018-09-01,2018-09-01,C1004,AS27134,21.0
2016-01-01,2016-01-01,C1004,AS27137,1.0
2016-02-01,2016-02-01,C1004,AS27137,1.0
2016-03-01,2016-03-01,C1004,AS27137,1.0
2016-04-01,2016-04-01,C1004,AS27137,1.0
2016-05-01,2016-05-01,C1004,AS27137,1.0
