,site_name,product_name,R2,RMSE,MASE,Obs
0,C1004,All,1.0,5.163931251575306e-12,2.357670213649956e-13,124
0,C1007,All,1.0,1.168189676512753e-13,2.937516859745143e-15,246
0,C1008,All,1.0,3.907796990568843e-14,2.1908792964336e-15,215
0,C1009,All,1.0,3.144262214875101e-14,9.691742662327947e-16,82
0,C1010,All,1.0,9.38518531021234e-13,6.59299135317023e-14,195
0,C1011,All,1.0,4.193850620960147e-14,3.158387138655054e-15,231
0,C1014,All,1.0,1.9952808492504116e-14,4.119689958197842e-15,117
0,C1015,All,1.0,3.0438657253889376e-14,1.7585725332040375e-15,332
0,C1017,All,1.0,1.3185601790557485e-14,2.7039551000540815e-15,91
0,C1018,All,1.0,6.285102002929836e-14,2.4203495411127783e-15,276
0,C1024,All,1.0,2.095393494030629e-13,4.110318673017229e-15,148
0,C1026,All,1.0,1.4753673222973334e-13,6.5138196068789096e-15,204
0,C1027,All,1.0,2.347616391114374e-13,1.3740570824509014e-14,292
0,C1028,All,1.0,5.640392621868885e-14,2.9560162836447245e-15,251
0,C1029,All,1.0,3.1636192187458233e-12,9.18535120713652e-14,248
0,C1030,All,1.0,4.811918402839953e-13,3.459127192768255e-14,324
0,C1034,All,1.0,9.603895336283961e-14,2.7969625694246387e-15,59
0,C1035,All,1.0,3.2215405736228315e-14,2.3260685190679575e-15,241
0,C1051,All,1.0,1.7538399820112546e-14,6.274761803991642e-16,96
0,C1054,All,1.0,6.096039541608314e-14,1.5597472128637338e-15,194
0,C1055,All,1.0,4.895286589758558e-13,8.146231548641425e-14,323
0,C1056,All,1.0,3.1159861682857828e-12,1.2741572169997345e-13,197
0,C1058,All,1.0,4.860102463038449e-14,1.2203300335742081e-15,68
0,C1059,All,1.0,1.558733016497859e-13,2.9458823801388435e-15,112
0,C1061,All,1.0,2.5706955564308593e-12,7.563246216309557e-14,208
0,C1062,All,1.0,4.554586614318556e-14,7.773646402425896e-16,227
0,C1063,All,1.0,2.1315909891120303e-14,8.23268638958428e-15,133
0,C1066,All,1.0,9.804838868790001e-14,1.9598520476171262e-15,201
0,C1067,All,1.0,2.8974310368883822e-12,2.2995121253878665e-13,56
0,C1069,All,1.0,4.1265577575849056e-13,1.8706347121147762e-14,215
0,C1070,All,1.0,1.0734434387743512e-12,9.67064988373158e-14,94
0,C1072,All,1.0,1.4267774378353034e-13,2.079867338315452e-14,241
0,C1073,All,1.0,6.42027767092131e-14,2.0944446568249813e-15,230
0,C1074,All,1.0,2.7086121460542653e-14,1.588079710585993e-15,175
0,C1077,All,1.0,7.087341197635081e-13,1.0534551050110005e-14,313
0,C1078,All,1.0,8.474209031461385e-13,1.9761322241806297e-14,224
0,C1080,All,1.0,1.2659629705512594e-13,1.5492587490878836e-15,72
0,C1082,All,1.0,4.1769534007112216e-14,1.2025939648151959e-15,191
0,C1083,All,1.0,1.5136931965712746e-13,4.4445371482429874e-15,89
0,C1084,All,1.0,4.87110574929548e-13,1.7117642263152328e-14,249
0,C1086,All,1.0,5.315239906572852e-13,6.859243205880578e-15,184
0,C1087,All,1.0,1.8260753610806163e-13,2.879448394790344e-15,330
0,C1088,All,1.0,2.554186443242627e-13,1.5185822791354699e-15,243
0,C1089,All,1.0,1.9114845836959313e-13,1.1846724399668062e-14,186
0,C1090,All,1.0,2.1051669902615397e-13,3.638157603689801e-15,308
0,C1091,All,1.0,6.098279102247971e-13,4.552467067630806e-14,182
0,C1092,All,1.0,1.0622547551238305e-13,3.359469877332851e-15,226
0,C1093,All,1.0,7.45566117022184e-14,2.6277693186977617e-15,120
0,C1094,All,1.0,9.526364491752752e-14,8.483728062005519e-16,24
0,C1095,All,1.0,1.9430111120667323e-13,2.028250786695599e-14,244
0,C1098,All,1.0,5.111137197580322e-13,7.522635969018506e-14,144
0,C1099,All,1.0,3.612167454467825e-13,1.645539903810985e-14,50
0,C1101,All,1.0,3.340440150477273e-14,7.36515131600312e-15,204
0,C1106,All,1.0,5.052411933190674e-14,5.274105364944204e-15,70
0,C1112,All,1.0,1.5011450903350106e-13,1.1665891830397498e-14,318
0,C1144,All,1.0,3.2620789572911117e-14,1.5025728588392669e-15,169
0,C1399,All,1.0,4.248858963495646e-13,1.4419021244272656e-14,178
0,C1411,All,1.0,1.71374948911559e-12,6.953950397548406e-14,246
0,C1413,All,1.0,3.881889303953352e-14,2.6773255800802237e-15,180
0,C1679,All,1.0,3.516098194646581e-14,2.1655824668406396e-15,148
0,C1681,All,1.0,2.6899277042619395e-13,1.5857261750264648e-14,235
0,C1701,All,1.0,0.0,,12
0,C1745,All,1.0,9.390788436643319e-13,5.523047039414504e-14,34
0,C2002,All,1.0,4.963201229089728e-14,2.631583741527744e-15,201
0,C2003,All,1.0,3.5069479602796835e-14,1.3480601080897106e-15,195
0,C2004,All,1.0,1.2246348758634938e-12,3.9186327601509766e-14,152
